"Date","MZMSL"
1959-01-01,274.9
1959-02-01,276
1959-03-01,277.4
1959-04-01,278.1
1959-05-01,280.1
1959-06-01,281.9
1959-07-01,283.1
1959-08-01,284.2
1959-09-01,284.3
1959-10-01,284.2
1959-11-01,285.4
1959-12-01,286.4
1960-01-01,286.7
1960-02-01,286.9
1960-03-01,287.7
1960-04-01,288.3
1960-05-01,289.1
1960-06-01,290.2
1960-07-01,291.7
1960-08-01,294.2
1960-09-01,295.5
1960-10-01,296.4
1960-11-01,298.2
1960-12-01,299.9
1961-01-01,301.3
1961-02-01,303.4
1961-03-01,305.2
1961-04-01,306.5
1961-05-01,308.2
1961-06-01,309.9
1961-07-01,310.9
1961-08-01,312.6
1961-09-01,314.1
1961-10-01,315.6
1961-11-01,318.5
1961-12-01,320.7
1962-01-01,321.9
1962-02-01,323.6
1962-03-01,325.7
1962-04-01,327.4
1962-05-01,329.3
1962-06-01,330.7
1962-07-01,331.9
1962-08-01,333.6
1962-09-01,335.1
1962-10-01,337
1962-11-01,340
1962-12-01,342.6
1963-01-01,344.6
1963-02-01,347
1963-03-01,349.3
1963-04-01,351.3
1963-05-01,353.7
1963-06-01,355.6
1963-07-01,357.9
1963-08-01,359.6
1963-09-01,361.4
1963-10-01,362.9
1963-11-01,366.2
1963-12-01,367.7
1964-01-01,369.3
1964-02-01,371.5
1964-03-01,373.4
1964-04-01,375.1
1964-05-01,377.4
1964-06-01,379.8
1964-07-01,382.3
1964-08-01,385.2
1964-09-01,388.2
1964-10-01,390.1
1964-11-01,393.1
1964-12-01,395.5
1965-01-01,397.6
1965-02-01,399.7
1965-03-01,402.1
1965-04-01,404
1965-05-01,405.3
1965-06-01,407.9
1965-07-01,410.1
1965-08-01,412.6
1965-09-01,415.7
1965-10-01,418.3
1965-11-01,421.5
1965-12-01,424.7
1966-01-01,426.7
1966-02-01,427.9
1966-03-01,428.6
1966-04-01,427.9
1966-05-01,426.5
1966-06-01,426.3
1966-07-01,424.6
1966-08-01,424.1
1966-09-01,425
1966-10-01,423.3
1966-11-01,423.9
1966-12-01,425.2
1967-01-01,424.5
1967-02-01,425.8
1967-03-01,428.8
1967-04-01,429.3
1967-05-01,432.4
1967-06-01,435.3
1967-07-01,437.6
1967-08-01,440.5
1967-09-01,442.7
1967-10-01,444.3
1967-11-01,445.8
1967-12-01,447
1968-01-01,447.6
1968-02-01,448.2
1968-03-01,449.8
1968-04-01,450.8
1968-05-01,452.4
1968-06-01,454.4
1968-07-01,455.1
1968-08-01,457.1
1968-09-01,459.3
1968-10-01,460.7
1968-11-01,463.4
1968-12-01,466.3
1969-01-01,467.4
1969-02-01,467.5
1969-03-01,469
1969-04-01,468.6
1969-05-01,468.1
1969-06-01,469.2
1969-07-01,467.7
1969-08-01,466.2
1969-09-01,466.7
1969-10-01,466.4
1969-11-01,466.9
1969-12-01,467.5
1970-01-01,469
1970-02-01,462.8
1970-03-01,460.2
1970-04-01,458.1
1970-05-01,457.3
1970-06-01,458
1970-07-01,459.5
1970-08-01,462.9
1970-09-01,466.9
1970-10-01,469.9
1970-11-01,472.4
1970-12-01,475.3
1971-01-01,479.1
1971-02-01,483.5
1971-03-01,488.2
1971-04-01,492.6
1971-05-01,497.7
1971-06-01,501.7
1971-07-01,505.6
1971-08-01,508.9
1971-09-01,512.5
1971-10-01,515.4
1971-11-01,518
1971-12-01,520.6
1972-01-01,524.7
1972-02-01,529.5
1972-03-01,533.8
1972-04-01,536.7
1972-05-01,538.5
1972-06-01,541.6
1972-07-01,546.5
1972-08-01,552.1
1972-09-01,557.4
1972-10-01,561.6
